en,ko
Hello again.,또 보네.
Tom painted his room white.,톰은 자기 방을 하얗게 칠했어.
The price includes tax.,그 가격에는 세금이 포함되어 있다.
Tom is awesome.,톰은 정말 멋져.
"Since the war, Japan has advanced greatly in science and technology.",전쟁 이래로 일본은 과학과 기술에서 큰 진보를 이루었어.
I shouldn't have sold my house.,난 내 집을 팔지 말았어야 했는데.
My stomach's full.,배가 부르다.
He turned his coat inside out.,그는 코트를 뒤집었다.
"Tom doesn't want to do that, but he has to.",톰은 어쩔 수 없이 그걸 해야 해.
Nobody listened to me.,아무도 내 말을 듣지 않았다.
I want to drive.,나는 운전하고 싶다.
They danced.,그들은 춤췄어.
I love red parrots.,난 빨간색 앵무새가 좋아.
Attention please!,주목해 주세요!
They are vegetarians.,그들은 채식주의자다.
I don't want to go to Tom's birthday party.,나는 톰의 생일 파티에 가고 싶지 않아.
I forgive you.,난 널 용서한다.
I hear you're very rich.,당신이 부자라고 들었다.
Tom is sober.,톰은 제정신이야.
Are these your pictures?,이것들 네 사진이야?
I have difficulty chewing.,씹기가 힘들다.
This cat is very fat.,이 고양이는 너무 살이 쪘어.
How did you know we were here?,우리가 여기 온 것을 어떻게 알았습니까?
I'll stay at home tomorrow.,나는 내일 집에 있을 것이다.
Linguistics is a science that tries to describe language.,언어학은 언어를 기술하고자 하는 학문이야.
Last year there was a lot of snow.,작년에 눈이 엄청 내렸어.
Tom has a beautiful wife.,톰의 아내는 아름답다.
Can we talk here?,여기서 대화해도 될까요?
I failed to go to his birthday party.,나는 그 사람의 생일 파티에 못 갔어.
Can you give me directions to the subway station?,지하철로 가는 길 좀 알려줄 수 있어?
She warmed herself by the fire.,그녀는 불로 몸을 덥혔다.
It was disappointing.,그것은 실망스러웠다.
"Sorry, I didn't mean to scare you.","미안해, 겁줄 생각은 아니었어."
Boys do cry.,남자애도 운다.
Tell me what's going on.,무슨 일인지 얘기해 주세요.
I major in economics.,난 경제학을 전공하고 있어.
I saw him cross the street.,그가 거리를 건너는 것을 보았다.
I love walking along the river.,나는 강변을 따라 걷는 것이 좋다.
It's sickening.,구역질 나.
How dare you!,어떻게 감히 그럴 수가!
Who won?,누가 이겼어?
Tom wondered why there was a dog in his house.,톰은 왜 자기 집에 개가 있었는지 알고 싶었다.
I had some things to work out.,해결해야 할 일이 조금 있었다.
Tom is extremely shy.,톰은 낯을 정말 많이 가린다.
I had never seen him before.,나는 그를 전에 본 적이 없다.
I'm the only person who did that.,내가 그걸 한 유일한 사람이야.
Tom often sings in his car.,톰은 자기 차 안에서 가끔 노래해.
Tom is the only professional musician I know.,톰은 내가 아는 유일한 전문 음악가다.
All men are equal under the law.,모든 사람은 법 아래에 동등해.
This isn't our final destination.,이건 우리의 최종 목표가 아냐.
What's your favorite team?,가장 좋아하는 팀은 어떤 팀이야?
I met your parents yesterday.,어제 너희 부모님을 만났다.
Tom plays the saxophone.,톰은 색소폰을 연주할 수 있어.
Is there a place where I can charge my cellphone around here?,이 근처에 휴대폰 충전할 수 있는 곳이 있나요?
I made reservations.,예약해 뒀어요.
Tom is starving.,톰은 배가 너무 고프다.
Tom was afraid to be here.,톰이 여기에 있길 무서워 했어.
Tom acts like a thug.,톰은 깡패같이 행동해.
Tom said I looked tired.,톰이 내가 피곤해보인다고 말했어
Are you doing what you want to do?,네가 하고 싶은 걸 하고 있어?
Tom isn't a very good French teacher.,톰은 그다지 좋은 프랑스 선생님이 아니야.
I've never tried water skiing.,나는 한 번도 수상 스키를 타본 적이 없어.
Tom cried.,톰은 울었어.
We've never lived in Australia.,우린 호주에서 산 적이 없어.
Tom is married to a high school teacher.,톰은 고등학교 선생님과 결혼했어.
I may be too old.,난 아마 너무 늙었어.
Let me help you with that.,내가 도와줄게.
Cats have nine lives.,고양이는 목숨이 아홉 개다.
I have a hard time remembering things.,나는 여러가지를 기억하는 게 힘들어.
Come home.,집에 와.
Tom and Mary were great neighbors.,톰과 메리는 훌륭한 이웃이었다.
Tom says he doesn't think Mary ought to do that.,톰은 마리가 그것을 해야만 한다고 생각하지 않는다고 말했다.
You should write it down before you forget it.,까먹기 전에 적어두는 것이 좋겠다.
Eradicating malaria won't be easy.,말라리아를 근절하는 것은 쉽지 않을 것이다.
My ideas are different from yours.,내 생각은 너와 달라.
I watched TV after I washed the dishes.,설거지 끝내고 티비 봤어.
Bring wine.,와인 가져와.
What are you washing?,당신은 무엇을 씻고 있습니까?
Did you buy cat food?,고양이 사료 샀어?
I wrote a letter last night.,지난밤에 편지 하나를 썼다.
Tom and Mary still live next door to John and Alice.,톰과 메리는 아직도 존과 앨리스의 옆집에 살고 있어.
You have to stop drinking.,너는 그만 마셔야 해.
Don't you feel the house shaking?,집이 흔들리는거 같지 않아?
"Thanks for your help, Tom.","도와줘서 고마워요, 톰."
My grandfather was killed in World War II.,우리 할아버지는 제2차 세계 대전 때 돌아가셨다.
Where will you go?,어디로 가실 건가요?
He resigned.,그 사람은 은퇴했어.
"Sorry, I don't get your point.","미안한데, 무슨 말을 하는지 못 알아듣겠어."
Have a good day.,좋은하루 되세요.
Learning French takes time.,프랑스어를 배우는 데에는 시간이 걸려.
Tom is ashamed of his body.,톰은 자기 몸을 창피해해.
You've got something stuck in your teeth.,이빨에 뭔가 끼어있어.
This issue was much more prevalent back then.,이 문제는 그 당시에 훨씬 더 만연했다.
Tom and his friends are swimming in the pool.,톰과 친구는 수영장에서 수영하고 있어.
You carry too much stuff in your purse.,핸드백 속에 너무 많은 것을 넣었군.
He made up his mind quickly.,그는 재빨리 마음을 먹었다.
Tom didn't seem to be so busy.,톰 별로 안 바빠 보이던데.
Ask Tom for advice.,톰에게 조언을 구해봐.
"Meat, please.",고기 주세요.
Tom reached for his cane.,톰은 손을 뻗어서 지팡이를 잡았다.
Listen.,들어.
I'm addicted.,난 중독자야.
"Your brother got married, didn't he?",형제분께서 결혼하셨었죠?
The blast destroyed everything.,폭발로 모든 것이 파괴되었다.
Most people expected Tom to win.,대부분 사람들이 톰이 이길 거라고 봤다.
Tom moved.,톰은 옮겼다.
We're going to the kitchen.,우리는 부엌에 간다.
It's just a dream.,그냥 꿈일 뿐이야.
There are a lot of sheep in the pasture.,목초지에 양이 많이 있다.
He goes swimming in the river every day.,그는 매일 강에 수영하러 간다.
I don't lie.,난 거짓말 안해.
You'll get lonely.,넌 외로워질거야.
Be patient.,참아.
Tom is in his mid-to-late thirties.,톰은 삼십대 중반이야.
"Tom is blind, deaf, and dumb.",톰은 장님에 귀머거리에 벙어리야.
Tom was diagnosed with Asperger's syndrome.,톰은 아스퍼거 증후군이라고 진단받았어.
I'll give it to Tom.,톰에게 줄 것이다.
I want to meet Tom's parents.,나는 톰의 부모를 만나고 싶어.
Please speak slower.,천천히 말해줘.
Tom is a nominee.,톰은 후보야.
I'll find them.,내가 찾아 볼게.
I went home by train.,나는 기차로 집에 갔어.
That's my favorite song.,이게 바로 내가 가장 좋아하는 노래야.
I bet Tom knows the answer.,톰은 정답을 알고있을걸?
The picture is in black and white.,이 사진은 흑백이다.
Why can't they do it?,그들은 왜 할 수 없는가?
I'm done watering the flowers.,꽃 물주기를 끝냈다.
Never mind!,신경쓰지마.
Four plus sixteen equals twenty.,4 더하기 16은 20이야.
Where's the butter?,버터 어디 있어?
He's wanted by the police.,그는 경찰에 수배되었다.
I didn't know you would do that.,네가 그걸 할 줄은 몰랐어.
"The more books you read, the more you'll know.","네가 책을 많이 읽을수록, 더 많은 걸 알게 될 거야."
Tom giggled.,톰이 낄낄거렸어.
Tom hid himself under the bed.,톰은 침대 밑으로 숨었다.
Have you ever been lonely?,외로웠던 적이 있어?
Is your gun loaded?,총이 장전되어 있나요?
I should've followed Tom's advice.,나는 톰의 조언을 따랐어야 했다.
Tom didn't let me answer Mary's question.,탐은 매리의 질문에 답하지 못하게 했어
I'm trying to tell you what needs to be done.,나는 네게 해야 할 일을 알려 주려고 하고 있어.
She asked me to wake her at six.,그 사람은 나한테 일곱 시에 깨워달라고 부탁했어.
Can I touch it?,건드려도 되나요?
Tom was traumatized.,톰은 정신적 충격을 받았어.
I hope we don't have to wait for too long.,많이 안 기다려도 되면 좋겠다
I don't think Tom is sorry.,톰이 미안해 하는 것 같지 않은데.
I was very disappointed.,너무 실망했어.
He carried six boxes at a time.,그는 상자 여섯 개를 한 번에 날랐다.
I don't know where they hid the key.,나는 그들이 열쇠를 어디에 숨겼는지 모른다.
I think I've made a horrible mistake.,내가 끔찍한 실수를 저지른 것 같아.
I ordered five books on economics from London.,나는 경제학 책을 다섯권 런던에 주문했다.
Tom drives.,톰은 운전을 한다.
He speaks English.,그는 영어를 쓴다.
I am very concerned about his health.,난 그 사람의 건강이 너무 걱정돼.
Tom may be faster at doing that than Mary.,그것을 하는데 톰은 메리보다 더 빠를지도 모른다.
Tom wasn't here when I got here.,내가 여기 왔을 때는 톰이 없었어.
"No matter what I do, she says I can do better.",내가 무엇을 하든지 간에 내가 더 잘한다고 말하더라.
How did you spend your winter vacation?,겨울방학 어떻게 보냈어?
Quiet down.,조용히 해.
Where was Tom during the fight?,싸우는 동안 톰은 어디 있었는가?
Robots are used to manufacture cars.,로봇은 자동차를 대량생산할 때 쓰여.
He takes a bath every morning.,그는 매일 아침 목욕을 한다.
Are you saying you don't know how to do this?,이걸 어떻게 하는지 모른다고 말하는 거야?
You need to be prepared.,넌 준비해야 돼.
I have a terrible headache.,나는 두통이 심하다.
I worked hard in order to support my family.,나는 가족을 먹여 살리기 위해 열심히 일했다.
Where is a doctor?,의사는 어디 있나요?
We succeeded.,우리는 성공했어.
"Merry Christmas, everybody!",모두들 메리 크리스마스!
Tom is looking for a way to make some money.,톰은 돈을 벌 방법을 찾고 있다.
I'm kind of surprised.,좀 놀랐어요.
Tom grumbled.,톰이 궁시렁거렸어.
Doing that doesn't look too hard.,별로 어려워 보이지 않는 일입니다.
Tell me what's going on.,무슨 일인지 얘기해봐.
My father was a Canadian.,내 아빠는 캐나다인이었어.
Some animals are active at night.,어떤 동물들은 야행성이야.
It's not as difficult as you think.,그건 생각보단 어렵지 않아.
Why does Tom hate Boston so much?,왜 톰은 보스턴을 그렇게나 싫어해?
We'll need a lot more than this.,우리는 이것보다 더 많이 필요할거야
Unemployment is a major problem.,실업은 주요한 문제야.
Tom maintained his innocence.,톰은 잘못이 없다고 우겼어.
Both Tom and Mary are very conservative.,톰과 메리 둘 다 너무 보수적이다.
The sky is cloudy today.,오늘 하늘은 흐렸다.
Hitler invaded Poland in 1939.,1939년 히틀러는 폴란드를 침공했다.
Have you gone nuts?,너 정신나갔어?
Tom said that he's not sleepy.,톰은 졸립지 않다고 말했다.
I don't really have a favorite color.,특별히 좋아하는 색깔같은 건 딱히 없어.
